kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
INTAKE,A430999,40204,OWNER SUR,EUTH REQ,2021-01-07 00:00:00,EUTH MED,EUTH,REQUESTED,2021-01-07 00:00:00,DOG,N,N,LARGE,WHITE / TAN,BASSET HOUND,40204,1
FOSTER,A423884,40211,STRAY,OTC,2025-03-07 00:00:00,STRAY,FOSTER,STRAY,2025-03-12 00:00:00,DOG,N,Y,SMALL,BLACK / TAN,MIN PINSCHER / MIN PINSCHER,40213,2
FOSTER,A423884,40213,FOSTER,RETURN,2025-04-13 00:00:00,FOSTER RET,ADOPTION,FOSTER,2025-04-13 00:00:00,DOG,N,Y,SMALL,BLACK / TAN,MIN PINSCHER / MIN PINSCHER,40213,3
N47,A583388,40228,OWNER SUR,OTC,2025-05-05 00:00:00,OWNER MED,ADOPTION,WALK IN,2025-05-20 00:00:00,CAT,N,N,X-LRG,ORANGE,DOMESTIC SH,40228,4
FREEZER,A558504,40215,STRAY,FIELD,2022-02-21 00:00:00,DOA,DISPOSAL,NECROPSY,2022-03-09 00:00:00,DOG,N,N,MED,BLUE,AMERICAN STAFF / MIX,40218,5
FREEZER,A477768,40299,DISPOSAL,OWNER,2021-04-02 00:00:00,DOA,DISPOSAL,BY OWNER,2021-04-02 00:00:00,DOG,N,N,SMALL,BLACK / BLACK,CHIHUAHUA SH / MIX,40299,6
202,A526152,40214,STRAY,OTC,2022-05-30 00:00:00,STRAY,RTO,IN KENNEL,2022-05-30 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,ALASKAN HUSKY / MIX,40208,7
603,A672910,40211,CONFISCATE,ABANDONED,2021-09-04 00:00:00,ABANDON,EUTH,BEHAV OBSV,2021-09-14 00:00:00,DOG,M,Y,MED,TAN,PIT BULL,40218,8
C121,A673163,40216,STRAY,FIELD,2024-07-19 00:00:00,STRAY,DIED,IN KENNEL,2024-07-27 00:00:00,CAT,N,Y,LARGE,ORANGE,DOMESTIC SH,40216,9
N04,A688218,40223,STRAY,OTC,2021-01-17 00:00:00,STRAY,ADOPTION,WALK IN,2021-01-29 00:00:00,DOG,S,N,MED,WHITE / BLACK,PIT BULL,40223,10
N16,A688292,40218,STRAY,FIELD,2021-01-19 00:00:00,STRAY,FOSTER,,2021-03-21 00:00:00,DOG,S,N,MED,BROWN / WHITE,PIT BULL,40218,11
TNR/SNR,A688304,40216,STRAY,OTC,2021-01-20 00:00:00,STRAY,SNR,,2021-01-22 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40216,12
TNR/SNR,A688305,40216,STRAY,OTC,2021-01-20 00:00:00,STRAY,SNR,,2021-01-22 00:00:00,CAT,S,N,MED,GRAY,DOMESTIC SH,40216,13
INTAKE,A688495,40212,STRAY,OTC,2021-02-10 00:00:00,STRAY,TNR,CARETAKER,2021-02-11 00:00:00,CAT,N,N,MED,BLK TABBY,DOMESTIC SH,40212,14
INTAKE,A688528,40258,STRAY,OTC,2021-02-23 00:00:00,STRAY,TNR,CARETAKER,2021-02-25 00:00:00,CAT,N,N,MED,SILVER / CREAM,DOMESTIC SH,40258,15
INTAKE,A688531,40258,STRAY,OTC,2021-02-23 00:00:00,STRAY,TNR,CARETAKER,2021-02-25 00:00:00,CAT,F,N,MED,BLK TABBY,DOMESTIC SH,40258,16
INTAKE,A688566,40272,STRAY,OTC,2021-02-24 00:00:00,STRAY,TNR,CARETAKER,2021-02-26 00:00:00,CAT,N,N,MED,BLK TABBY / WHITE,DOMESTIC SH,40272,17
N42,A688808,40213,STRAY,OTC,2021-02-02 00:00:00,STRAY,ADOPTION,INTERNET,2021-02-08 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC SH,40213,18
ACO UNIT,A688864,40212,STRAY,FIELD,2021-02-03 00:00:00,STRAY,RTO,IN FIELD,2021-02-03 00:00:00,DOG,S,N,LARGE,BR BRINDLE / WHITE,PIT BULL / MIX,40218,19
FOSTER,A688921,40215,FOSTER,RETURN,2021-04-08 00:00:00,MOVE,ADOPTION,FOSTER,2021-04-08 00:00:00,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC SH,40214,20
308,A688944,40214,STRAY,OTC,2021-02-05 00:00:00,STRAY,RTO,IN KENNEL,2021-02-09 00:00:00,DOG,S,N,LARGE,TAN / WHITE,GERM SHEPHERD / LABRADOR RETR,40214,21
N34,A689013,40212,STRAY,FIELD,2021-05-28 00:00:00,ABANDON,ADOPTION,INTERNET,2021-06-22 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40218,22
N18,A689013,40229,RETURN,ADOPTION,2021-07-17 00:00:00,CHASES ANI,ADOPTION,WALK IN,2021-07-18 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40229,23
N29,A689013,40214,RETURN,ADOPTION,2021-06-26 00:00:00,MOVE,ADOPTION,INTERNET,2021-06-29 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40214,24
C132,A689031,40218,STRAY,OTC,2021-02-08 00:00:00,STRAY,RTF,,2021-02-16 00:00:00,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC LH,40218,25
C309,A689031,40218,STRAY,OTC,2022-10-24 00:00:00,STRAY,RTF,,2022-11-02 00:00:00,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC LH,40218,26
N38,A689052,40203,FOSTER,RETURN,2021-03-06 00:00:00,STRAY,ADOPTION,WALK IN,2021-03-07 00:00:00,CAT,S,N,SMALL,GRAY,DOMESTIC SH,40220,27
NECROPSY,A623406,40291,OWNER SUR,OTC,2024-11-23 00:00:00,AGG PEOPLE,EUTH,REQUESTED,2024-11-26 00:00:00,DOG,S,Y,MED,BLACK / WHITE,LABRADOR RETR / MIX,40291,28
FOLLOWUP,A659072,40203,STRAY,FIELD,2021-09-09 00:00:00,STRAY,RTO,IN KENNEL,2021-09-10 00:00:00,DOG,M,N,LARGE,BLACK / WHITE,PIT BULL,40218,29
FOSTER,A659520,40206,FOSTER,RETURN,2021-03-04 00:00:00,RESPONSIBL,TRANSPORT,RESCUE GRP,2021-03-13 00:00:00,DOG,S,N,PUPPY,WHITE / BR BRINDLE,JACK RUSS TER,40205,30
FOUND,A692224,,FOUND,WEB,2021-05-09 00:00:00,,,,,DOG,F,,LARGE,BLACK / UNKNOWN,GERM SHEPHERD,40299,31
ID04,A692251,40211,STRAY,OTC,2021-05-10 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-06-05 00:00:00,DOG,S,N,MED,BLACK / WHITE,PLOTT HOUND / LABRADOR RETR,40203,32
LOST,A692277,,LOST,WEB,2021-05-09 00:00:00,,,,,DOG,M,,X-LRG,UNKNOWN,CANE CORSO,40216,33
LOST,A692293,,LOST,WEB,2021-05-09 00:00:00,,,,,CAT,M,,,UNKNOWN,AMER SH,40217,34
TNR/SNR,A692330,40291,STRAY,OTC,2021-05-11 00:00:00,STRAY,SNR,,2021-05-13 00:00:00,CAT,S,N,MED,BLACK / WHITE,DOMESTIC SH,40291,35
TNR/SNR,A692379,40291,STRAY,OTC,2021-05-12 00:00:00,STRAY,SNR,,2021-05-14 00:00:00,CAT,N,N,LARGE,GRAY / WHITE,DOMESTIC SH,40291,36
702,A692541,40205,RETURN,ADOPTION,2021-06-07 00:00:00,AGG PEOPLE,EUTH,BEHAV OBSV,2021-06-09 00:00:00,DOG,N,N,LARGE,CREAM,LABRADOR RETR / MIX,40205,37
N29,A692548,40214,STRAY,OTC,2021-05-17 00:00:00,STRAY,ADOPTION,INTERNET,2021-06-04 00:00:00,DOG,S,N,MED,RED / WHITE,BOXER / MIN PINSCHER,40216,38
BARN,A692716,40207,CONFISCATE,POLICE,2021-05-20 00:00:00,UNKNOWN,RTO,IN KENNEL,2021-05-21 00:00:00,OTHER,N,N,SMALL,BLACK / WHITE,FERRET,40218,39
ID10,A692771,40243,STRAY,OTC,2022-02-09 00:00:00,STRAY,ADOPTION,THIRDPARTY,2022-02-23 00:00:00,DOG,S,N,LARGE,BLACK,CANE CORSO / MIX,40243,40
N09,A693034,40216,STRAY,FIELD,2021-05-28 00:00:00,STRAY,ADOPTION,WALK IN,2021-06-23 00:00:00,DOG,S,N,LARGE,BROWN / WHITE,PIT BULL,40218,41
N19,A674817,40210,STRAY,OTC,2022-06-15 00:00:00,STRAY,ADOPTION,INTERNET,2022-07-02 00:00:00,DOG,S,N,LARGE,GRAY / BR BRINDLE,CANE CORSO,40210,42
DW17,A690329,40219,STRAY,OTC,2021-03-21 00:00:00,STRAY,RTO,IN KENNEL,2021-03-23 00:00:00,DOG,N,N,MED,BLUE / WHITE,AMERICAN STAFF,40219,43
TNR/SNR,A690386,40214,STRAY,OTC,2021-03-22 00:00:00,STRAY,SNR,,2021-03-24 00:00:00,CAT,S,N,SMALL,BRN TABBY,DOMESTIC SH,40214,44
ACO UNIT,A690693,40222,STRAY,FIELD,2023-02-09 00:00:00,STRAY,RTO,IN FIELD,2023-02-09 00:00:00,DOG,N,N,LARGE,BLACK / GRAY,IRISH WOLFHOUND / MIX,40207,45
FREEZER,A302838,40215,OWNER SUR,EUTH REQ,2021-05-19 00:00:00,EUTH MED,EUTH,REQUESTED,2021-05-19 00:00:00,CAT,S,N,SMALL,BLACK / BLACK,DOMESTIC SH,40218,46
K110B,A439960,40291,STRAY,OTC,2022-02-03 00:00:00,STRAY,TRANSPORT,RESCUE GRP,2022-02-19 00:00:00,DOG,N,N,SMALL,TAN / WHITE,BRUSS GRIFFON / MIX,40291,47
K207,A534215,40211,STRAY,FIELD,2023-05-12 00:00:00,STRAY,RTO,IN KENNEL,2023-05-16 00:00:00,DOG,S,N,SMALL,TAN,SHIH TZU,40211,48
FREEZER,A447561,40215,DISPOSAL,OWNER,2021-05-09 00:00:00,DOA,DISPOSAL,BY OWNER,2021-05-09 00:00:00,DOG,F,N,MED,BROWN / WHITE,AUST SHEPHERD / BORDER COLLIE,40215,49
ID08,A516993,40215,STRAY,FIELD,2023-01-27 00:00:00,STRAY,RTO,IN KENNEL,2023-02-08 00:00:00,DOG,S,Y,MED,WHITE / TAN,HARRIER / MIX,40215,50
C110,A553927,40258,STRAY,OTC,2021-04-12 00:00:00,STRAY,RTO,IN KENNEL,2021-04-16 00:00:00,CAT,S,N,SMALL,BROWN / WHITE,DOMESTIC SH,40258,51
NF1,A519727,40272,OWNER SUR,RETURN 30,2025-02-07 00:00:00,OWNER MED,ADOPTION,WALK IN,2025-03-02 00:00:00,CAT,S,Y,MED,SLVR TABBY / WHITE,EGYPTIAN MAU / MIX,40272,52
FOSTER,A593933,40219,CONFISCATE,OWNER DIED,2023-10-24 00:00:00,STRAY,FOSTER,TIME/SPACE,2023-10-25 00:00:00,DOG,N,N,SMALL,BROWN / WHITE,JACK RUSS TER / MIX,40228,53
ACO UNIT,A472199,40214,STRAY,OTC,2023-02-19 00:00:00,STRAY,RTO,IN FIELD,2023-02-19 00:00:00,DOG,S,N,LARGE,TRICOLOR,BOXER / MIX,40220,54
C105,A508976,40204,STRAY,OTC,2023-05-04 00:00:00,STRAY,RTO,IN KENNEL,2023-05-04 00:00:00,CAT,N,N,SMALL,GRAY,DOMESTIC SH,40204,55
602,A581886,40291,CONFISCATE,OWNER DIED,2022-12-20 00:00:00,OTHER PET,FOSTER,TIME/SPACE,2022-12-29 00:00:00,DOG,S,Y,MED,TAN / WHITE,JACK RUSS TER / BORDER COLLIE,40218,56
ID02,A617774,40212,STRAY,OTC,2022-12-25 00:00:00,STRAY,RTO,IN KENNEL,2022-12-27 00:00:00,DOG,M,N,LARGE,BL BRINDLE,AKITA / MIX,40218,57
K105B,A406234,40205,STRAY,OTC,2022-08-12 00:00:00,STRAY,RTO,IN KENNEL,2022-08-12 00:00:00,DOG,S,N,SMALL,TRICOLOR,YORKSHIRE TERR,40205,58
ACO UNIT,A604682,40212,STRAY,FIELD,2021-12-29 00:00:00,STRAY,RTO,IN FIELD,2021-12-29 00:00:00,DOG,N,N,LARGE,WHITE / BROWN,BOXER / PIT BULL,40212,59
ID10,A623285,40214,FOSTER,RETURN,2025-01-23 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2025-01-23 00:00:00,DOG,S,N,LARGE,WHITE,GREAT PYRENEES,40218,60
304,A639987,40214,STRAY,OTC,2021-01-13 00:00:00,STRAY,RTO,IN KENNEL,2021-01-20 00:00:00,DOG,S,N,LARGE,WHITE / TAN,BOXER / PIT BULL,40214,61
C122,A642208,40272,STRAY,OTC,2021-10-05 00:00:00,STRAY,RTF,,2021-10-15 00:00:00,CAT,S,N,LARGE,GRAY / WHITE,DOMESTIC SH,40272,62
ACO UNIT,A671891,40210,OWNER SUR,EUTH REQ,2021-02-06 00:00:00,OWNER MED,EUTH,REQUESTED,2021-02-06 00:00:00,DOG,M,Y,SMALL,BLACK,CHIHUAHUA SH / POMERANIAN,40210,63
LOST,A688205,,LOST,WEB,2021-01-12 00:00:00,,,,,CAT,M,,,UNKNOWN,HIMALAYAN,40214,64
C203,A688219,40216,STRAY,OTC,2021-01-17 00:00:00,STRAY,SNR,,2021-02-03 00:00:00,CAT,S,N,MED,ORG TABBY / WHITE,DOMESTIC SH,40214,65
TNR/SNR,A688386,40216,STRAY,OTC,2021-01-22 00:00:00,STRAY,SNR,,2021-01-27 00:00:00,CAT,S,N,LARGE,BRN TABBY,DOMESTIC SH,40214,66
INTAKE,A688428,40203,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,CARETAKER,2021-02-04 00:00:00,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,40203,67
INTAKE,A688563,40272,STRAY,OTC,2021-02-24 00:00:00,STRAY,TNR,CARETAKER,2021-02-26 00:00:00,CAT,S,N,MED,BLK TABBY,DOMESTIC SH,40272,68
LOST,A688603,,LOST,WEB,2021-01-23 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,POMERANIAN,40229,69
TNR/SNR,A688660,40212,STRAY,OTC,2021-01-27 00:00:00,STRAY,SNR,,2021-01-29 00:00:00,CAT,N,N,SMALL,BRN TABBY,DOMESTIC SH,40214,70
DW05,A688673,40291,FOSTER,RETURN,2024-01-17 00:00:00,FOSTER RET,TRANSFER,RESCUE GRP,2024-01-17 00:00:00,DOG,S,N,SMALL,BLACK / WHITE,CHIHUAHUA SH / MIX,40216,71
N30,A688854,40212,STRAY,OTC,2021-02-03 00:00:00,STRAY,ADOPTION,WALK IN,2021-02-13 00:00:00,DOG,N,N,PUPPY,BLACK,LABRADOR RETR / MIX,40212,72
LOST,A688948,,LOST,WEB,2021-02-05 00:00:00,,,,,DOG,M,,,UNKNOWN,AM PIT BULL TER,40219,73
DW13,A688964,40210,OWNER SUR,EUTH REQ,2021-02-06 00:00:00,OWNER MED,FOSTER,,2021-03-12 00:00:00,DOG,N,N,SMALL,BLACK / BROWN,SCHNAUZER MIN / MIX,40210,74
N38,A689053,40203,STRAY,OTC,2021-02-09 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-02-12 00:00:00,CAT,S,N,SMALL,GRAY TABBY,DOMESTIC LH,40214,75
406,A619207,40272,STRAY,OTC,2023-11-17 00:00:00,PETMEDICAL,EUTH,REQUESTED,2023-11-21 00:00:00,DOG,S,N,MED,BLACK / WHITE,PIT BULL,47111,76
FOSTER,A621153,40118,STRAY,OTC,2025-06-03 00:00:00,STRAY,FOSTER,TIME/SPACE,2025-06-08 00:00:00,DOG,S,N,SMALL,BLACK / BROWN,MIN PINSCHER,40272,77
C303,A690378,40217,STRAY,OTC,2021-03-22 00:00:00,STRAY,SNR,,2021-04-14 00:00:00,CAT,S,N,SMALL,BLACK,DOMESTIC SH,40214,78
DW17,A690703,40212,FOSTER,RETURN,2021-04-12 00:00:00,STRAY,ADOPTION,WALK IN,2021-04-12 00:00:00,DOG,N,N,PUPPY,BLACK,ROTTWEILER,40220,79
FOSTER,A690703,40212,STRAY,OTC,2021-03-30 00:00:00,STRAY,FOSTER,STRAY,2021-04-04 00:00:00,DOG,N,N,PUPPY,BLACK,ROTTWEILER,40220,80
NF2,A690753,40258,FOSTER,RETURN,2021-06-09 00:00:00,FOSTER RET,ADOPTION,WALK IN,2021-06-11 00:00:00,CAT,S,N,KITTN,WHITE,DOMESTIC SH,40205,81
NP,A690754,40205,FOSTER,RETURN,2021-07-10 00:00:00,FOSTER RET,ADOPTION,FRIEND,2021-07-10 00:00:00,CAT,N,N,KITTN,WHITE,DOMESTIC SH,40205,82
N30,A690838,40272,RETURN,ADOPTION,2021-04-13 00:00:00,ALLERGIC,ADOPTION,WALK IN,2021-04-13 00:00:00,DOG,S,N,PUPPY,BLACK / WHITE,PIT BULL / LABRADOR RETR,40272,83
N02,A690881,40213,RETURN,ADOPTION,2021-04-15 00:00:00,OTHER PET,ADOPTION,WALK IN,2021-04-18 00:00:00,DOG,S,N,LARGE,BLACK / BROWN,AUST SHEPHERD / MIX,40213,84
C110,A690932,40218,OWNER SUR,OTC,2021-04-05 00:00:00,OWNER DIED,TRANSFER,RESCUE GRP,2021-04-10 00:00:00,CAT,S,N,LARGE,TORTIE / MUTED,DOMESTIC SH,40218,85
905,A691050,40208,STRAY,OTC,2021-04-07 00:00:00,STRAY,RTO,IN KENNEL,2021-04-08 00:00:00,DOG,S,N,MED,TRICOLOR,BEAGLE,40208,86
DW18,A692219,40203,STRAY,OTC,2021-05-08 00:00:00,STRAY,RTO,IN KENNEL,2021-05-11 00:00:00,DOG,N,N,MED,WHITE / BLACK,PIT BULL,40203,87
LOST,A692247,,LOST,WEB,2021-05-08 00:00:00,,,,,DOG,F,,SMALL,UNKNOWN,PIT BULL,40212,88
ID06,A692281,40219,STRAY,OTC,2021-12-25 00:00:00,STRAY,RTO,IN KENNEL,2021-12-25 00:00:00,DOG,N,N,LARGE,WHITE / BR BRINDLE,PIT BULL,40219,89
N46,A692422,OUT OF COUNTY,FOSTER,RETURN,2021-06-28 00:00:00,FOSTER RET,ADOPTION,INTERNET,2021-06-30 00:00:00,CAT,N,N,KITTN,GRAY / WHITE,DOMESTIC SH,47150,90
FREEZER,A500976,40211,DISPOSAL,OWNER,2022-04-24 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2022-04-24 00:00:00,DOG,S,N,MED,BLACK / TAN,GERM SHEPHERD / MIX,40211,91
K103B,A333998,40211,STRAY,OTC,2021-10-28 00:00:00,STRAY,RTO,IN KENNEL,2021-10-28 00:00:00,DOG,N,N,SMALL,WHITE / TAN,POMERANIAN,40212,92
ACO UNIT,A613502,40216,STRAY,FIELD,2023-06-27 00:00:00,STRAY,RTO,IN FIELD,2023-06-27 00:00:00,DOG,S,N,LARGE,BLACK / BLACK,PIT BULL,40216,93
INTAKE,A364289,40228,DISPOSAL,OWNER,2021-03-15 00:00:00,DOA,DISPOSAL,BY OWNER,2021-03-15 00:00:00,DOG,F,Y,LARGE,BLACK / TRICOLOR,LABRADOR RETR / MIX,40228,94
FREEZER,A544936,40206,DISPOSAL,OWNER,2021-04-07 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2021-04-07 00:00:00,DOG,S,Y,SMALL,BROWN / BLACK,YORKSHIRE TERR,40206,95
ACO UNIT,A562865,40258,STRAY,FIELD,2021-12-24 00:00:00,STRAY,RTO,IN FIELD,2021-12-24 00:00:00,DOG,S,N,LARGE,BLACK,LABRADOR RETR,40258,96
ACO UNIT,A535805,40214,STRAY,FIELD,2021-12-24 00:00:00,STRAY,RTO,IN FIELD,2021-12-24 00:00:00,DOG,N,N,MED,BROWN / WHITE,BEAGLE / MIX,40169,97
FOLLOWUP,A627561,40213,CONFISCATE,BITE,2022-08-23 00:00:00,VIOLATION,RTO,IN KENNEL,2022-09-03 00:00:00,DOG,S,Y,SMALL,BLACK / BROWN,MIN PINSCHER,40218,98
N15,A673563,40214,STRAY,OTC,2021-08-09 00:00:00,STRAY,ADOPTION,INTERNET,2021-09-07 00:00:00,DOG,N,N,LARGE,BROWN / BLACK,GERM SHEPHERD / MIX,40214,99
LOST,A688260,,LOST,WEB,2021-01-07 00:00:00,,,,,DOG,,,LARGE,UNKNOWN,PIT BULL,37218,100
N05,A688282,40208,STRAY,OTC,2021-01-19 00:00:00,STRAY,ADOPTION,WALK IN,2021-01-27 00:00:00,DOG,S,N,MED,WHITE / BROWN,PIT BULL,40208,101
INTAKE,A688406,40208,STRAY,OTC,2021-02-02 00:00:00,STRAY,TNR,CARETAKER,2021-02-03 00:00:00,CAT,S,N,MED,BLK TABBY,DOMESTIC SH,40208,102
INTAKE,A688422,40212,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,CARETAKER,2021-02-04 00:00:00,CAT,S,N,MED,BLK TABBY,DOMESTIC SH,40212,103
INTAKE,A688424,40212,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,CARETAKER,2021-02-04 00:00:00,CAT,S,N,MED,BLK TABBY / WHITE,DOMESTIC SH,40212,104
INTAKE,A688465,40214,STRAY,OTC,2021-02-09 00:00:00,STRAY,TNR,CARETAKER,2021-02-10 00:00:00,CAT,N,N,MED,BLK TABBY / WHITE,DOMESTIC SH,40214,105
C310,A688711,40213,STRAY,OTC,2021-01-29 00:00:00,STRAY,RTF,,2021-03-01 00:00:00,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,40203,106
LOST,A688785,,LOST,WEB,2021-01-28 00:00:00,,,,,DOG,M,,MED,UNKNOWN,GERM SHEPHERD,40212,107
802,A688790,40118,STRAY,OTC,2021-02-01 00:00:00,STRAY,RTO,IN KENNEL,2021-02-02 00:00:00,DOG,M,N,MED,WHITE,PIT BULL,40118,108
C127,A688849,40215,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,,2021-03-12 00:00:00,CAT,S,N,MED,BLACK / WHITE,DOMESTIC SH,40215,109
904,A688938,40245,STRAY,OTC,2021-02-05 00:00:00,STRAY,RTO,IN KENNEL,2021-02-11 00:00:00,DOG,S,N,MED,BROWN / BLACK,KEESHOND / MIX,40245,110
C218,A688969,40218,DISPOSAL,STRAY,2021-02-07 00:00:00,STRAY,DISPOSAL,STRAY,2021-02-07 00:00:00,CAT,U,N,KITTN,WHITE,DOMESTIC SH,40218,111
C218,A688972,40218,STRAY,OTC,2021-02-07 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-02-07 00:00:00,CAT,U,N,KITTN,WHITE,DOMESTIC SH,40218,112
FREEZER,A688972,40218,FOSTER,RETURN,2021-02-10 00:00:00,STRAY,DIED,IN FOSTER,2021-02-10 00:00:00,CAT,U,N,KITTN,WHITE,DOMESTIC SH,40218,113
C302,A689059,40214,STRAY,OTC,2021-02-24 00:00:00,STRAY,RTF,,2021-03-05 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC MH,40214,114
TNR/SNR,A689059,40214,STRAY,OTC,2021-02-09 00:00:00,STRAY,SNR,,2021-02-11 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC MH,40214,115
FOSTER,A689097,40215,STRAY,OTC,2021-02-11 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-02-16 00:00:00,DOG,F,N,LARGE,BR BRINDLE,PIT BULL / MIX,40215,116
N52,A603557,40245,STRAY,OTC,2024-07-27 00:00:00,STRAY,RTO,IN KENNEL,2024-08-09 00:00:00,CAT,N,N,KITTN,BUFF,DOMESTIC SH,40245,117
FOUND,A692246,,FOUND,WEB,2021-05-09 00:00:00,,,,,DOG,M,,,UNKNOWN,CHIHUAHUA SH,40258,118
ID03,A692470,40220,STRAY,OTC,2021-05-14 00:00:00,STRAY,RTO,IN KENNEL,2021-05-15 00:00:00,DOG,S,N,LARGE,BLACK,PIT BULL / MIX,40217,119
FOSTER,A692481,40214,STRAY,FIELD,2021-05-15 00:00:00,STRAY,EUTH,MEDICAL,2021-05-17 00:00:00,CAT,M,N,KITTN,BLK TIGER,DOMESTIC SH,40214,120
LOST,A692571,,LOST,WEB,2021-05-16 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,MALTESE,40223,121
FOSTER,A692650,40216,STRAY,OTC,2021-05-19 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-05-20 00:00:00,CAT,N,N,LARGE,BRN TABBY,DOMESTIC SH,40216,122
FOSTER,A692676,40214,STRAY,OTC,2021-05-19 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-05-19 00:00:00,CAT,S,N,KITTN,WHITE / GRAY,DOMESTIC SH,40214,123
K102,A692708,40202,STRAY,OTC,2023-05-09 00:00:00,STRAY,ADOPTION,WALK IN,2023-05-15 00:00:00,DOG,N,N,SMALL,WHITE,SHIH TZU / MIX,40299,124
LOST,A692879,,LOST,WEB,2021-05-21 00:00:00,,,,,DOG,M,,TOY,UNKNOWN,CHIHUAHUA SH,40217,125
TNR/SNR,A692937,40216,STRAY,OTC,2021-05-26 00:00:00,STRAY,SNR,,2021-06-11 00:00:00,CAT,F,N,SMALL,BLACK,DOMESTIC SH,40216,126
ACO UNIT,A692947,40210,STRAY,FIELD,2022-05-15 00:00:00,STRAY,RTO,IN KENNEL,2022-05-15 00:00:00,DOG,N,N,SMALL,RED / BLACK,WELSH CORGI CAR / MIX,40218,127
N09,A693022,40291,STRAY,OTC,2021-05-28 00:00:00,STRAY,ADOPTION,WALK IN,2021-06-06 00:00:00,DOG,S,N,LARGE,BLUE,PIT BULL,40291,128
608,A619982,40245,STRAY,FIELD,2021-01-11 00:00:00,STRAY,RTO,IN KENNEL,2021-01-13 00:00:00,DOG,M,N,LARGE,BLUE / WHITE,PIT BULL,40202,129
ACO UNIT,A619982,40245,STRAY,FIELD,2022-04-05 00:00:00,STRAY,RTO,IN FIELD,2022-04-05 00:00:00,DOG,M,N,LARGE,BLUE / WHITE,PIT BULL,40202,130
ID08,A638325,40208,STRAY,OTC,2022-03-19 00:00:00,STRAY,TRANSFER,RESCUE GRP,2022-04-02 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,LABRADOR RETR / MIX,40210,131
ID01,A639919,40206,STRAY,OTC,2025-08-05 00:00:00,STRAY,RTO,IN KENNEL,2025-08-09 00:00:00,DOG,S,N,LARGE,BLACK / TAN,ROTTWEILER,40206,132
707,A674817,OUT OF COUNTY,RETURN,ADOPTION,2022-07-17 00:00:00,AGG FEAR,EUTH,REQUESTED,2022-07-20 00:00:00,DOG,S,N,LARGE,GRAY / BR BRINDLE,CANE CORSO,47136,133
ACO UNIT,A690395,40216,STRAY,FIELD,2021-03-22 00:00:00,STRAY,EUTH,INHUMANE,2021-03-22 00:00:00,CAT,F,N,MED,CALICO PT / WHITE,DOMESTIC SH,40218,134
FOLLOWUP,A690417,40291,STRAY,OTC,2021-03-23 00:00:00,STRAY,SNR,,2021-03-25 00:00:00,CAT,S,N,SMALL,TORTIE,DOMESTIC SH,40291,135
C129,A690462,40207,STRAY,OTC,2021-03-24 00:00:00,STRAY,SNR,,2021-04-19 00:00:00,CAT,N,N,LARGE,BRN TABBY / WHITE,DOMESTIC SH,40207,136
INTAKE,A438805,40228,STRAY,OTC,2022-12-28 00:00:00,STRAY,RTO,IN FIELD,2022-12-28 00:00:00,DOG,N,N,PUPPY,BROWN / WHITE,BORDER TERRIER / MIX,40291,137
ACO UNIT,A511082,OUT OF COUNTY,STRAY,FIELD,2022-12-28 00:00:00,STRAY,RTO,IN FIELD,2022-12-28 00:00:00,DOG,N,N,LARGE,BLUE,CANE CORSO,40014,138
ACO UNIT,A496239,OUT OF COUNTY,STRAY,FIELD,2022-12-28 00:00:00,STRAY,RTO,IN FIELD,2022-12-28 00:00:00,DOG,S,N,SMALL,TRICOLOR,AUST CATTLE DOG / MIX,40014,139
