kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
LOST,A735392,,LOST,WEB,2023-03-26 00:00:00,,,,,CAT,M,,SMALL,UNKNOWN,MAINE COON,,36194
TNR/SNR,A735424,40213,STRAY,OTC,2023-03-30 00:00:00,STRAY,SNR,,2023-04-05 00:00:00,CAT,N,N,LARGE,GRAY TABBY,DOMESTIC SH,40213-,36195
LOST,A735509,,LOST,WEB,2023-03-31 00:00:00,,,,,CAT,M,,SMALL,UNKNOWN,DOMESTIC SH,,36196
DW08,A735661,40219,STRAY,OTC,2023-04-03 00:00:00,STRAY,RTO,,2023-04-05 00:00:00,DOG,N,N,PUPPY,BLACK / WHITE,PIT BULL,40210,36197
FOSTER,A756466,40219,STRAY,OTC,2024-03-18 00:00:00,STRAY,FOSTER,STRAY,2024-03-23 00:00:00,DOG,N,N,SMALL,TRICOLOR,BEAGLE,40241,36198
DW08,A756466,40241,FOSTER,RETURN,2024-05-10 00:00:00,FOSTER RET,ADOPTION,FOSTER,2024-05-10 00:00:00,DOG,N,N,SMALL,TRICOLOR,BEAGLE,40241,36199
K205,A756560,40207,STRAY,OTC,2024-03-19 00:00:00,STRAY,ADOPTION,INTERNET,2024-03-26 00:00:00,DOG,S,N,SMALL,BROWN / WHITE,BEAGLE,40207,36200
TNR/SNR,A756713,40272,STRAY,OTC,2024-03-21 00:00:00,STRAY,FOSTER,,2024-06-05 00:00:00,CAT,S,N,SMALL,GRAY / WHITE,AMER SH,40272,36201
102,A756716,40219,STRAY,OTC,2024-03-21 00:00:00,STRAY,TRANSFER,RESCUE GRP,2024-04-07 00:00:00,DOG,N,N,MED,BLACK,CHINESE SHARPEI,40220,36202
ID03,A757459,40299,STRAY,OTC,2024-10-14 00:00:00,STRAY,TRANSFER,RESCUE GRP,2024-10-26 00:00:00,DOG,N,N,MED,BROWN / WHITE,CAVALIER KING CHARLES,40299,36203
N33,A757543,40211,STRAY,FIELD,2024-04-02 00:00:00,STRAY,ADOPTION,WALK IN,2024-04-12 00:00:00,DOG,N,N,TOY,BLACK,POODLE TOY / MIX,40211,36204
LOST,A760555,,LOST,WEB,2024-05-14 00:00:00,,,,,BIRD,F,,SMALL,BROWN,,,36205
LOST,A760576,,LOST,WEB,2024-05-20 00:00:00,,,,,CAT,M,,MED,WHITE,AMER SH,,36206
DW17,A742820,40216,STRAY,FIELD,2023-08-02 00:00:00,STRAY,RTO,IN KENNEL,2023-08-09 00:00:00,DOG,S,N,MED,BR BRINDLE,PIT BULL,40218,36207
